"@timestamp","_index","agent.id","agent.ip","agent.name","data.dstuser","data.srcip","data.srcport","decoder.name","decoder.parent","full_log",id,"input.type",location,"manager.name","predecoder.program_name","predecoder.timestamp","rule.description","rule.firedtimes","rule.gdpr","rule.gpg13","rule.groups","rule.hipaa","rule.id","rule.level","rule.mail","rule.mitre.id","rule.mitre.tactic","rule.mitre.technique","rule.nist_800_53","rule.pci_dss","rule.tsc",timestamp
"Feb 26, 2025 @ 20:34:07.276","wazuh-archives-4.x-2025.02.26",093,"10.10.90.105",akhtar,akhtar,"10.10.90.75",50419,sshd,sshd,"2025-02-21T11:51:10.762100+05:00 akhtar-VirtualBox sshd[29013]: Accepted password for akhtar from 10.10.90.75 port 50419 ssh2","1740584047.28869",log,"/var/log/auth.log","wazuh-VirtualBox",sshd,"2025-02-21T11:51:10.762100+05:00","sshd: authentication success.",14,"IV_32.2","7.1, 7.2","syslog, sshd, authentication_success","164.312.b",5715,3,false,"T1078, T1021","Defense Evasion, Persistence, Privilege Escalation, Initial Access, Lateral Movement","Valid Accounts, Remote Services","AU.14, AC.7","10.2.5","CC6.8, CC7.2, CC7.3","Feb 26, 2025 @ 20:34:07.276"
"Feb 26, 2025 @ 20:34:07.029","wazuh-archives-4.x-2025.02.26",093,"10.10.90.105",akhtar,akhtar,"10.10.90.75",50410,sshd,sshd,"2025-02-21T11:47:38.394148+05:00 akhtar-VirtualBox sshd[28951]: Accepted password for akhtar from 10.10.90.75 port 50410 ssh2","1740584047.27914",log,"/var/log/auth.log","wazuh-VirtualBox",sshd,"2025-02-21T11:47:38.394148+05:00","sshd: authentication success.",13,"IV_32.2","7.1, 7.2","syslog, sshd, authentication_success","164.312.b",5715,3,false,"T1078, T1021","Defense Evasion, Persistence, Privilege Escalation, Initial Access, Lateral Movement","Valid Accounts, Remote Services","AU.14, AC.7","10.2.5","CC6.8, CC7.2, CC7.3","Feb 26, 2025 @ 20:34:07.029"
"Feb 26, 2025 @ 20:34:06.932","wazuh-archives-4.x-2025.02.26",093,"10.10.90.105",akhtar,akhtar,"10.10.90.75",50393,sshd,sshd,"2025-02-21T11:44:06.000464+05:00 akhtar-VirtualBox sshd[28877]: Accepted password for akhtar from 10.10.90.75 port 50393 ssh2","1740584046.26483",log,"/var/log/auth.log","wazuh-VirtualBox",sshd,"2025-02-21T11:44:06.000464+05:00","sshd: authentication success.",12,"IV_32.2","7.1, 7.2","syslog, sshd, authentication_success","164.312.b",5715,3,false,"T1078, T1021","Defense Evasion, Persistence, Privilege Escalation, Initial Access, Lateral Movement","Valid Accounts, Remote Services","AU.14, AC.7","10.2.5","CC6.8, CC7.2, CC7.3","Feb 26, 2025 @ 20:34:06.932"
"Feb 26, 2025 @ 20:34:06.615","wazuh-archives-4.x-2025.02.26",093,"10.10.90.105",akhtar,akhtar,"10.10.90.75",50344,sshd,sshd,"2025-02-21T11:40:33.564853+05:00 akhtar-VirtualBox sshd[28808]: Accepted password for akhtar from 10.10.90.75 port 50344 ssh2","1740584046.26004",log,"/var/log/auth.log","wazuh-VirtualBox",sshd,"2025-02-21T11:40:33.564853+05:00","sshd: authentication success.",11,"IV_32.2","7.1, 7.2","syslog, sshd, authentication_success","164.312.b",5715,3,false,"T1078, T1021","Defense Evasion, Persistence, Privilege Escalation, Initial Access, Lateral Movement","Valid Accounts, Remote Services","AU.14, AC.7","10.2.5","CC6.8, CC7.2, CC7.3","Feb 26, 2025 @ 20:34:06.615"
"Feb 26, 2025 @ 20:34:06.543","wazuh-archives-4.x-2025.02.26",093,"10.10.90.105",akhtar,akhtar,"10.10.90.75",50336,sshd,sshd,"2025-02-21T11:37:01.193112+05:00 akhtar-VirtualBox sshd[28693]: Accepted password for akhtar from 10.10.90.75 port 50336 ssh2","1740584046.25049",log,"/var/log/auth.log","wazuh-VirtualBox",sshd,"2025-02-21T11:37:01.193112+05:00","sshd: authentication success.",10,"IV_32.2","7.1, 7.2","syslog, sshd, authentication_success","164.312.b",5715,3,false,"T1078, T1021","Defense Evasion, Persistence, Privilege Escalation, Initial Access, Lateral Movement","Valid Accounts, Remote Services","AU.14, AC.7","10.2.5","CC6.8, CC7.2, CC7.3","Feb 26, 2025 @ 20:34:06.543"
"Feb 26, 2025 @ 20:34:06.188","wazuh-archives-4.x-2025.02.26",093,"10.10.90.105",akhtar,akhtar,"10.10.90.75",50328,sshd,sshd,"2025-02-21T11:33:28.869183+05:00 akhtar-VirtualBox sshd[28622]: Accepted password for akhtar from 10.10.90.75 port 50328 ssh2","1740584046.24094",log,"/var/log/auth.log","wazuh-VirtualBox",sshd,"2025-02-21T11:33:28.869183+05:00","sshd: authentication success.",9,"IV_32.2","7.1, 7.2","syslog, sshd, authentication_success","164.312.b",5715,3,false,"T1078, T1021","Defense Evasion, Persistence, Privilege Escalation, Initial Access, Lateral Movement","Valid Accounts, Remote Services","AU.14, AC.7","10.2.5","CC6.8, CC7.2, CC7.3","Feb 26, 2025 @ 20:34:06.188"
"Feb 26, 2025 @ 20:34:06.152","wazuh-archives-4.x-2025.02.26",093,"10.10.90.105",akhtar,akhtar,"10.10.90.75",50320,sshd,sshd,"2025-02-21T11:29:56.506792+05:00 akhtar-VirtualBox sshd[28554]: Accepted password for akhtar from 10.10.90.75 port 50320 ssh2","1740584046.22663",log,"/var/log/auth.log","wazuh-VirtualBox",sshd,"2025-02-21T11:29:56.506792+05:00","sshd: authentication success.",8,"IV_32.2","7.1, 7.2","syslog, sshd, authentication_success","164.312.b",5715,3,false,"T1078, T1021","Defense Evasion, Persistence, Privilege Escalation, Initial Access, Lateral Movement","Valid Accounts, Remote Services","AU.14, AC.7","10.2.5","CC6.8, CC7.2, CC7.3","Feb 26, 2025 @ 20:34:06.152"
"Feb 26, 2025 @ 20:34:05.922","wazuh-archives-4.x-2025.02.26",093,"10.10.90.105",akhtar,akhtar,"10.10.90.75",50310,sshd,sshd,"2025-02-21T11:26:24.076952+05:00 akhtar-VirtualBox sshd[28484]: Accepted password for akhtar from 10.10.90.75 port 50310 ssh2","1740584045.21708",log,"/var/log/auth.log","wazuh-VirtualBox",sshd,"2025-02-21T11:26:24.076952+05:00","sshd: authentication success.",7,"IV_32.2","7.1, 7.2","syslog, sshd, authentication_success","164.312.b",5715,3,false,"T1078, T1021","Defense Evasion, Persistence, Privilege Escalation, Initial Access, Lateral Movement","Valid Accounts, Remote Services","AU.14, AC.7","10.2.5","CC6.8, CC7.2, CC7.3","Feb 26, 2025 @ 20:34:05.922"
"Feb 26, 2025 @ 20:34:05.860","wazuh-archives-4.x-2025.02.26",093,"10.10.90.105",akhtar,akhtar,"10.10.90.75",50301,sshd,sshd,"2025-02-21T11:22:51.735691+05:00 akhtar-VirtualBox sshd[28414]: Accepted password for akhtar from 10.10.90.75 port 50301 ssh2","1740584045.21229",log,"/var/log/auth.log","wazuh-VirtualBox",sshd,"2025-02-21T11:22:51.735691+05:00","sshd: authentication success.",6,"IV_32.2","7.1, 7.2","syslog, sshd, authentication_success","164.312.b",5715,3,false,"T1078, T1021","Defense Evasion, Persistence, Privilege Escalation, Initial Access, Lateral Movement","Valid Accounts, Remote Services","AU.14, AC.7","10.2.5","CC6.8, CC7.2, CC7.3","Feb 26, 2025 @ 20:34:05.860"
"Feb 26, 2025 @ 20:34:05.771","wazuh-archives-4.x-2025.02.26",093,"10.10.90.105",akhtar,akhtar,"10.10.90.75",50293,sshd,sshd,"2025-02-21T11:19:19.368677+05:00 akhtar-VirtualBox sshd[28350]: Accepted password for akhtar from 10.10.90.75 port 50293 ssh2","1740584045.20274",log,"/var/log/auth.log","wazuh-VirtualBox",sshd,"2025-02-21T11:19:19.368677+05:00","sshd: authentication success.",5,"IV_32.2","7.1, 7.2","syslog, sshd, authentication_success","164.312.b",5715,3,false,"T1078, T1021","Defense Evasion, Persistence, Privilege Escalation, Initial Access, Lateral Movement","Valid Accounts, Remote Services","AU.14, AC.7","10.2.5","CC6.8, CC7.2, CC7.3","Feb 26, 2025 @ 20:34:05.771"
"Feb 26, 2025 @ 20:34:05.605","wazuh-archives-4.x-2025.02.26",093,"10.10.90.105",akhtar,akhtar,"10.10.90.75",50282,sshd,sshd,"2025-02-21T11:15:46.993030+05:00 akhtar-VirtualBox sshd[28278]: Accepted password for akhtar from 10.10.90.75 port 50282 ssh2","1740584045.19319",log,"/var/log/auth.log","wazuh-VirtualBox",sshd,"2025-02-21T11:15:46.993030+05:00","sshd: authentication success.",4,"IV_32.2","7.1, 7.2","syslog, sshd, authentication_success","164.312.b",5715,3,false,"T1078, T1021","Defense Evasion, Persistence, Privilege Escalation, Initial Access, Lateral Movement","Valid Accounts, Remote Services","AU.14, AC.7","10.2.5","CC6.8, CC7.2, CC7.3","Feb 26, 2025 @ 20:34:05.605"
"Feb 26, 2025 @ 20:34:05.549","wazuh-archives-4.x-2025.02.26",093,"10.10.90.105",akhtar,akhtar,"10.10.90.75",50273,sshd,sshd,"2025-02-21T11:12:14.631169+05:00 akhtar-VirtualBox sshd[28211]: Accepted password for akhtar from 10.10.90.75 port 50273 ssh2","1740584045.17888",log,"/var/log/auth.log","wazuh-VirtualBox",sshd,"2025-02-21T11:12:14.631169+05:00","sshd: authentication success.",3,"IV_32.2","7.1, 7.2","syslog, sshd, authentication_success","164.312.b",5715,3,false,"T1078, T1021","Defense Evasion, Persistence, Privilege Escalation, Initial Access, Lateral Movement","Valid Accounts, Remote Services","AU.14, AC.7","10.2.5","CC6.8, CC7.2, CC7.3","Feb 26, 2025 @ 20:34:05.549"
"Feb 26, 2025 @ 20:34:05.335","wazuh-archives-4.x-2025.02.26",093,"10.10.90.105",akhtar,akhtar,"10.10.90.75",50263,sshd,sshd,"2025-02-21T11:08:42.238446+05:00 akhtar-VirtualBox sshd[28087]: Accepted password for akhtar from 10.10.90.75 port 50263 ssh2","1740584045.17409",log,"/var/log/auth.log","wazuh-VirtualBox",sshd,"2025-02-21T11:08:42.238446+05:00","sshd: authentication success.",2,"IV_32.2","7.1, 7.2","syslog, sshd, authentication_success","164.312.b",5715,3,false,"T1078, T1021","Defense Evasion, Persistence, Privilege Escalation, Initial Access, Lateral Movement","Valid Accounts, Remote Services","AU.14, AC.7","10.2.5","CC6.8, CC7.2, CC7.3","Feb 26, 2025 @ 20:34:05.335"
"Feb 26, 2025 @ 20:34:05.321","wazuh-archives-4.x-2025.02.26",093,"10.10.90.105",akhtar,akhtar,"10.10.90.75",50255,sshd,sshd,"2025-02-21T11:05:09.795655+05:00 akhtar-VirtualBox sshd[28018]: Accepted password for akhtar from 10.10.90.75 port 50255 ssh2","1740584045.16930",log,"/var/log/auth.log","wazuh-VirtualBox",sshd,"2025-02-21T11:05:09.795655+05:00","sshd: authentication success.",1,"IV_32.2","7.1, 7.2","syslog, sshd, authentication_success","164.312.b",5715,3,false,"T1078, T1021","Defense Evasion, Persistence, Privilege Escalation, Initial Access, Lateral Movement","Valid Accounts, Remote Services","AU.14, AC.7","10.2.5","CC6.8, CC7.2, CC7.3","Feb 26, 2025 @ 20:34:05.321"
"Feb 21, 2025 @ 11:03:35.913","wazuh-archives-4.x-2025.02.21",096,"10.10.90.112","shakir-hussain","shakir-hussain","10.10.90.111",51338,sshd,sshd,"2025-02-21T11:03:35.813096+05:00 shakir-hussain-VirtualBox sshd[46477]: Accepted password for shakir-hussain from 10.10.90.111 port 51338 ssh2","1740117815.391882",log,"/var/log/auth.log","wazuh-VirtualBox",sshd,"2025-02-21T11:03:35.813096+05:00","sshd: authentication success.",4,"IV_32.2","7.1, 7.2","syslog, sshd, authentication_success","164.312.b",5715,3,false,"T1078, T1021","Defense Evasion, Persistence, Privilege Escalation, Initial Access, Lateral Movement","Valid Accounts, Remote Services","AU.14, AC.7","10.2.5","CC6.8, CC7.2, CC7.3","Feb 21, 2025 @ 11:03:35.913"
"Feb 21, 2025 @ 11:03:17.855","wazuh-archives-4.x-2025.02.21",000,"-","wazuh-VirtualBox",wazuh,"10.10.90.105",55970,sshd,sshd,"2025-02-21T11:03:17.785459+05:00 wazuh-VirtualBox sshd[14344]: Accepted password for wazuh from 10.10.90.105 port 55970 ssh2","1740117797.391882",log,"/var/log/auth.log","wazuh-VirtualBox",sshd,"2025-02-21T11:03:17.785459+05:00","sshd: authentication success.",3,"IV_32.2","7.1, 7.2","syslog, sshd, authentication_success","164.312.b",5715,3,false,"T1078, T1021","Defense Evasion, Persistence, Privilege Escalation, Initial Access, Lateral Movement","Valid Accounts, Remote Services","AU.14, AC.7","10.2.5","CC6.8, CC7.2, CC7.3","Feb 21, 2025 @ 11:03:17.855"
"Feb 21, 2025 @ 11:03:17.855","wazuh-archives-4.x-2025.02.21",000,"-","wazuh-VirtualBox",wazuh,"10.10.90.105",55970,sshd,sshd,"2025-02-21T11:03:17.785459+05:00 wazuh-VirtualBox sshd[14344]: Accepted password for wazuh from 10.10.90.105 port 55970 ssh2","1740117797.391882",log,"/var/log/auth.log","wazuh-VirtualBox",sshd,"2025-02-21T11:03:17.785459+05:00","sshd: authentication success.",3,"IV_32.2","7.1, 7.2","syslog, sshd, authentication_success","164.312.b",5715,3,false,"T1078, T1021","Defense Evasion, Persistence, Privilege Escalation, Initial Access, Lateral Movement","Valid Accounts, Remote Services","AU.14, AC.7","10.2.5","CC6.8, CC7.2, CC7.3","Feb 21, 2025 @ 11:03:17.855"
"Feb 21, 2025 @ 11:02:38.009","wazuh-archives-4.x-2025.02.21",094,"10.10.90.111",FYP,FYP,"10.10.90.113",52850,sshd,sshd,"2025-02-21T06:02:37.850027+00:00 FYP sshd[48335]: Accepted password for FYP from 10.10.90.113 port 52850 ssh2","1740117758.390489",log,"/var/log/auth.log","wazuh-VirtualBox",sshd,"2025-02-21T06:02:37.850027+00:00","sshd: authentication success.",2,"IV_32.2","7.1, 7.2","syslog, sshd, authentication_success","164.312.b",5715,3,false,"T1078, T1021","Defense Evasion, Persistence, Privilege Escalation, Initial Access, Lateral Movement","Valid Accounts, Remote Services","AU.14, AC.7","10.2.5","CC6.8, CC7.2, CC7.3","Feb 21, 2025 @ 11:02:38.009"
"Feb 21, 2025 @ 11:02:38.009","wazuh-archives-4.x-2025.02.21",094,"10.10.90.111",FYP,FYP,"10.10.90.113",52850,sshd,sshd,"2025-02-21T06:02:37.850027+00:00 FYP sshd[48335]: Accepted password for FYP from 10.10.90.113 port 52850 ssh2","1740117758.390489",log,"/var/log/auth.log","wazuh-VirtualBox",sshd,"2025-02-21T06:02:37.850027+00:00","sshd: authentication success.",2,"IV_32.2","7.1, 7.2","syslog, sshd, authentication_success","164.312.b",5715,3,false,"T1078, T1021","Defense Evasion, Persistence, Privilege Escalation, Initial Access, Lateral Movement","Valid Accounts, Remote Services","AU.14, AC.7","10.2.5","CC6.8, CC7.2, CC7.3","Feb 21, 2025 @ 11:02:38.009"
"Feb 21, 2025 @ 11:01:37.567","wazuh-archives-4.x-2025.02.21",093,"10.10.90.105",akhtar,akhtar,"10.10.90.75",50247,sshd,sshd,"2025-02-21T11:01:37.492216+05:00 akhtar-VirtualBox sshd[27940]: Accepted password for akhtar from 10.10.90.75 port 50247 ssh2","1740117697.389532",log,"/var/log/auth.log","wazuh-VirtualBox",sshd,"2025-02-21T11:01:37.492216+05:00","sshd: authentication success.",1,"IV_32.2","7.1, 7.2","syslog, sshd, authentication_success","164.312.b",5715,3,false,"T1078, T1021","Defense Evasion, Persistence, Privilege Escalation, Initial Access, Lateral Movement","Valid Accounts, Remote Services","AU.14, AC.7","10.2.5","CC6.8, CC7.2, CC7.3","Feb 21, 2025 @ 11:01:37.567"
"Feb 21, 2025 @ 11:01:37.567","wazuh-archives-4.x-2025.02.21",093,"10.10.90.105",akhtar,akhtar,"10.10.90.75",50247,sshd,sshd,"2025-02-21T11:01:37.492216+05:00 akhtar-VirtualBox sshd[27940]: Accepted password for akhtar from 10.10.90.75 port 50247 ssh2","1740117697.389532",log,"/var/log/auth.log","wazuh-VirtualBox",sshd,"2025-02-21T11:01:37.492216+05:00","sshd: authentication success.",1,"IV_32.2","7.1, 7.2","syslog, sshd, authentication_success","164.312.b",5715,3,false,"T1078, T1021","Defense Evasion, Persistence, Privilege Escalation, Initial Access, Lateral Movement","Valid Accounts, Remote Services","AU.14, AC.7","10.2.5","CC6.8, CC7.2, CC7.3","Feb 21, 2025 @ 11:01:37.567"
"Feb 21, 2025 @ 11:00:03.336","wazuh-archives-4.x-2025.02.21",096,"10.10.90.112","shakir-hussain","shakir-hussain","10.10.90.111",49582,sshd,sshd,"2025-02-21T11:00:02.866246+05:00 shakir-hussain-VirtualBox sshd[46353]: Accepted password for shakir-hussain from 10.10.90.111 port 49582 ssh2","1740117603.387595",log,"/var/log/auth.log","wazuh-VirtualBox",sshd,"2025-02-21T11:00:02.866246+05:00","sshd: authentication success.",68,"IV_32.2","7.1, 7.2","syslog, sshd, authentication_success","164.312.b",5715,3,false,"T1078, T1021","Defense Evasion, Persistence, Privilege Escalation, Initial Access, Lateral Movement","Valid Accounts, Remote Services","AU.14, AC.7","10.2.5","CC6.8, CC7.2, CC7.3","Feb 21, 2025 @ 11:00:03.336"
"Feb 21, 2025 @ 11:00:03.336","wazuh-archives-4.x-2025.02.21",096,"10.10.90.112","shakir-hussain","shakir-hussain","10.10.90.111",49582,sshd,sshd,"2025-02-21T11:00:02.866246+05:00 shakir-hussain-VirtualBox sshd[46353]: Accepted password for shakir-hussain from 10.10.90.111 port 49582 ssh2","1740117603.387595",log,"/var/log/auth.log","wazuh-VirtualBox",sshd,"2025-02-21T11:00:02.866246+05:00","sshd: authentication success.",68,"IV_32.2","7.1, 7.2","syslog, sshd, authentication_success","164.312.b",5715,3,false,"T1078, T1021","Defense Evasion, Persistence, Privilege Escalation, Initial Access, Lateral Movement","Valid Accounts, Remote Services","AU.14, AC.7","10.2.5","CC6.8, CC7.2, CC7.3","Feb 21, 2025 @ 11:00:03.336"
"Feb 21, 2025 @ 10:59:43.239","wazuh-archives-4.x-2025.02.21",000,"-","wazuh-VirtualBox",wazuh,"10.10.90.105",41978,sshd,sshd,"2025-02-21T10:59:43.089339+05:00 wazuh-VirtualBox sshd[14211]: Accepted password for wazuh from 10.10.90.105 port 41978 ssh2","1740117583.386184",log,"/var/log/auth.log","wazuh-VirtualBox",sshd,"2025-02-21T10:59:43.089339+05:00","sshd: authentication success.",67,"IV_32.2","7.1, 7.2","syslog, sshd, authentication_success","164.312.b",5715,3,false,"T1078, T1021","Defense Evasion, Persistence, Privilege Escalation, Initial Access, Lateral Movement","Valid Accounts, Remote Services","AU.14, AC.7","10.2.5","CC6.8, CC7.2, CC7.3","Feb 21, 2025 @ 10:59:43.239"
"Feb 21, 2025 @ 10:59:43.239","wazuh-archives-4.x-2025.02.21",000,"-","wazuh-VirtualBox",wazuh,"10.10.90.105",41978,sshd,sshd,"2025-02-21T10:59:43.089339+05:00 wazuh-VirtualBox sshd[14211]: Accepted password for wazuh from 10.10.90.105 port 41978 ssh2","1740117583.386184",log,"/var/log/auth.log","wazuh-VirtualBox",sshd,"2025-02-21T10:59:43.089339+05:00","sshd: authentication success.",67,"IV_32.2","7.1, 7.2","syslog, sshd, authentication_success","164.312.b",5715,3,false,"T1078, T1021","Defense Evasion, Persistence, Privilege Escalation, Initial Access, Lateral Movement","Valid Accounts, Remote Services","AU.14, AC.7","10.2.5","CC6.8, CC7.2, CC7.3","Feb 21, 2025 @ 10:59:43.239"
